Documet1,Document2,numHashes,ShinglesJaccard,MinHashJaccard
"11-Mare-Balena","8-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","8-Mare-Balena",50,1,1
"11-Mare-Balena","8-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","9-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","9-Mare-Balena",50,1,1
"11-Mare-Balena","9-Pride-Perjudice",50,0.531017,0.52
"11-Pride-Perjudice","12-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","12-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","12-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","13-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","13-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","13-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","14-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","14-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","14-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","15-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","15-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","15-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","16-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","16-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","16-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","17-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","17-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","17-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","18-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","18-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","18-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","19-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","19-Mare-Balena",50,0.532338,0.52
"11-Pride-Perjudice","19-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","2-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","2-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","2-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","20-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","20-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","20-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","3-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","3-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","3-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","4-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","4-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","4-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","5-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","5-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","5-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","6-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","6-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","6-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","7-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","7-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","7-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","8-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","8-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","8-Pride-Perjudice",50,1,1
"11-Pride-Perjudice","9-Don-Quijote",50,0.505181,0.4
"11-Pride-Perjudice","9-Mare-Balena",50,0.531017,0.52
"11-Pride-Perjudice","9-Pride-Perjudice",50,1,1
"12-Don-Quijote","12-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","12-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","13-Don-Quijote",50,1,1
"12-Don-Quijote","13-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","13-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","14-Don-Quijote",50,1,1
"12-Don-Quijote","14-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","14-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","15-Don-Quijote",50,1,1
"12-Don-Quijote","15-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","15-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","16-Don-Quijote",50,1,1
"12-Don-Quijote","16-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","16-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","17-Don-Quijote",50,1,1
"12-Don-Quijote","17-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","17-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","18-Don-Quijote",50,1,1
"12-Don-Quijote","18-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","18-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","19-Don-Quijote",50,1,1
"12-Don-Quijote","19-Mare-Balena",50,0.613514,0.54
"12-Don-Quijote","19-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","2-Don-Quijote",50,1,1
"12-Don-Quijote","2-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","2-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","20-Don-Quijote",50,1,1
"12-Don-Quijote","20-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","20-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","3-Don-Quijote",50,1,1
"12-Don-Quijote","3-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","3-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","4-Don-Quijote",50,1,1
"12-Don-Quijote","4-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","4-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","5-Don-Quijote",50,1,1
"12-Don-Quijote","5-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","5-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","6-Don-Quijote",50,1,1
"12-Don-Quijote","6-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","6-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","7-Don-Quijote",50,1,1
"12-Don-Quijote","7-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","7-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","8-Don-Quijote",50,1,1
"12-Don-Quijote","8-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","8-Pride-Perjudice",50,0.505181,0.4
"12-Don-Quijote","9-Don-Quijote",50,1,1
"12-Don-Quijote","9-Mare-Balena",50,0.61186,0.54
"12-Don-Quijote","9-Pride-Perjudice",50,0.505181,0.4
"12-Mare-Balena","12-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","13-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","13-Mare-Balena",50,1,1
"12-Mare-Balena","13-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","14-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","14-Mare-Balena",50,1,1
"12-Mare-Balena","14-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","15-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","15-Mare-Balena",50,1,1
"12-Mare-Balena","15-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","16-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","16-Mare-Balena",50,1,1
"12-Mare-Balena","16-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","17-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","17-Mare-Balena",50,1,1
"12-Mare-Balena","17-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","18-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","18-Mare-Balena",50,1,1
"12-Mare-Balena","18-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","19-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","19-Mare-Balena",50,0.996845,1
"12-Mare-Balena","19-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","2-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","2-Mare-Balena",50,1,1
"12-Mare-Balena","2-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","20-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","20-Mare-Balena",50,1,1
"12-Mare-Balena","20-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","3-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","3-Mare-Balena",50,1,1
"12-Mare-Balena","3-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","4-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","4-Mare-Balena",50,1,1
"12-Mare-Balena","4-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","5-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","5-Mare-Balena",50,1,1
"12-Mare-Balena","5-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","6-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","6-Mare-Balena",50,1,1
"12-Mare-Balena","6-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","7-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","7-Mare-Balena",50,1,1
"12-Mare-Balena","7-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","8-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","8-Mare-Balena",50,1,1
"12-Mare-Balena","8-Pride-Perjudice",50,0.531017,0.52
"12-Mare-Balena","9-Don-Quijote",50,0.61186,0.54
"12-Mare-Balena","9-Mare-Balena",50,1,1
"12-Mare-Balena","9-Pride-Perjudice",50,0.531017,0.52
"12-Pride-Perjudice","13-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","13-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","13-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","14-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","14-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","14-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","15-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","15-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","15-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","16-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","16-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","16-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","17-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","17-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","17-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","18-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","18-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","18-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","19-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","19-Mare-Balena",50,0.532338,0.52
"12-Pride-Perjudice","19-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","2-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","2-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","2-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","20-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","20-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","20-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","3-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","3-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","3-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","4-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","4-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","4-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","5-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","5-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","5-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","6-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","6-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","6-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","7-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","7-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","7-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","8-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","8-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","8-Pride-Perjudice",50,1,1
"12-Pride-Perjudice","9-Don-Quijote",50,0.505181,0.4
"12-Pride-Perjudice","9-Mare-Balena",50,0.531017,0.52
"12-Pride-Perjudice","9-Pride-Perjudice",50,1,1
"13-Don-Quijote","13-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","13-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","14-Don-Quijote",50,1,1
"13-Don-Quijote","14-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","14-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","15-Don-Quijote",50,1,1
"13-Don-Quijote","15-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","15-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","16-Don-Quijote",50,1,1
"13-Don-Quijote","16-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","16-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","17-Don-Quijote",50,1,1
"13-Don-Quijote","17-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","17-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","18-Don-Quijote",50,1,1
"13-Don-Quijote","18-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","18-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","19-Don-Quijote",50,1,1
"13-Don-Quijote","19-Mare-Balena",50,0.613514,0.54
"13-Don-Quijote","19-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","2-Don-Quijote",50,1,1
"13-Don-Quijote","2-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","2-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","20-Don-Quijote",50,1,1
"13-Don-Quijote","20-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","20-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","3-Don-Quijote",50,1,1
"13-Don-Quijote","3-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","3-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","4-Don-Quijote",50,1,1
"13-Don-Quijote","4-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","4-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","5-Don-Quijote",50,1,1
"13-Don-Quijote","5-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","5-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","6-Don-Quijote",50,1,1
"13-Don-Quijote","6-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","6-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","7-Don-Quijote",50,1,1
"13-Don-Quijote","7-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","7-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","8-Don-Quijote",50,1,1
"13-Don-Quijote","8-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","8-Pride-Perjudice",50,0.505181,0.4
"13-Don-Quijote","9-Don-Quijote",50,1,1
"13-Don-Quijote","9-Mare-Balena",50,0.61186,0.54
"13-Don-Quijote","9-Pride-Perjudice",50,0.505181,0.4
"13-Mare-Balena","13-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","14-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","14-Mare-Balena",50,1,1
"13-Mare-Balena","14-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","15-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","15-Mare-Balena",50,1,1
"13-Mare-Balena","15-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","16-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","16-Mare-Balena",50,1,1
"13-Mare-Balena","16-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","17-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","17-Mare-Balena",50,1,1
"13-Mare-Balena","17-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","18-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","18-Mare-Balena",50,1,1
"13-Mare-Balena","18-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","19-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","19-Mare-Balena",50,0.996845,1
"13-Mare-Balena","19-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","2-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","2-Mare-Balena",50,1,1
"13-Mare-Balena","2-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","20-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","20-Mare-Balena",50,1,1
"13-Mare-Balena","20-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","3-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","3-Mare-Balena",50,1,1
"13-Mare-Balena","3-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","4-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","4-Mare-Balena",50,1,1
"13-Mare-Balena","4-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","5-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","5-Mare-Balena",50,1,1
"13-Mare-Balena","5-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","6-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","6-Mare-Balena",50,1,1
"13-Mare-Balena","6-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","7-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","7-Mare-Balena",50,1,1
"13-Mare-Balena","7-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","8-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","8-Mare-Balena",50,1,1
"13-Mare-Balena","8-Pride-Perjudice",50,0.531017,0.52
"13-Mare-Balena","9-Don-Quijote",50,0.61186,0.54
"13-Mare-Balena","9-Mare-Balena",50,1,1
"13-Mare-Balena","9-Pride-Perjudice",50,0.531017,0.52
"13-Pride-Perjudice","14-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","14-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","14-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","15-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","15-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","15-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","16-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","16-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","16-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","17-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","17-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","17-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","18-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","18-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","18-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","19-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","19-Mare-Balena",50,0.532338,0.52
"13-Pride-Perjudice","19-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","2-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","2-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","2-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","20-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","20-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","20-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","3-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","3-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","3-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","4-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","4-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","4-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","5-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","5-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","5-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","6-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","6-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","6-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","7-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","7-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","7-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","8-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","8-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","8-Pride-Perjudice",50,1,1
"13-Pride-Perjudice","9-Don-Quijote",50,0.505181,0.4
"13-Pride-Perjudice","9-Mare-Balena",50,0.531017,0.52
"13-Pride-Perjudice","9-Pride-Perjudice",50,1,1
"14-Don-Quijote","14-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","14-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","15-Don-Quijote",50,1,1
"14-Don-Quijote","15-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","15-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","16-Don-Quijote",50,1,1
"14-Don-Quijote","16-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","16-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","17-Don-Quijote",50,1,1
"14-Don-Quijote","17-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","17-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","18-Don-Quijote",50,1,1
"14-Don-Quijote","18-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","18-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","19-Don-Quijote",50,1,1
"14-Don-Quijote","19-Mare-Balena",50,0.613514,0.54
"14-Don-Quijote","19-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","2-Don-Quijote",50,1,1
"14-Don-Quijote","2-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","2-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","20-Don-Quijote",50,1,1
"14-Don-Quijote","20-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","20-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","3-Don-Quijote",50,1,1
"14-Don-Quijote","3-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","3-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","4-Don-Quijote",50,1,1
"14-Don-Quijote","4-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","4-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","5-Don-Quijote",50,1,1
"14-Don-Quijote","5-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","5-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","6-Don-Quijote",50,1,1
"14-Don-Quijote","6-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","6-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","7-Don-Quijote",50,1,1
"14-Don-Quijote","7-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","7-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","8-Don-Quijote",50,1,1
"14-Don-Quijote","8-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","8-Pride-Perjudice",50,0.505181,0.4
"14-Don-Quijote","9-Don-Quijote",50,1,1
"14-Don-Quijote","9-Mare-Balena",50,0.61186,0.54
"14-Don-Quijote","9-Pride-Perjudice",50,0.505181,0.4
"14-Mare-Balena","14-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","15-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","15-Mare-Balena",50,1,1
"14-Mare-Balena","15-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","16-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","16-Mare-Balena",50,1,1
"14-Mare-Balena","16-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","17-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","17-Mare-Balena",50,1,1
"14-Mare-Balena","17-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","18-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","18-Mare-Balena",50,1,1
"14-Mare-Balena","18-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","19-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","19-Mare-Balena",50,0.996845,1
"14-Mare-Balena","19-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","2-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","2-Mare-Balena",50,1,1
"14-Mare-Balena","2-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","20-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","20-Mare-Balena",50,1,1
"14-Mare-Balena","20-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","3-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","3-Mare-Balena",50,1,1
"14-Mare-Balena","3-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","4-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","4-Mare-Balena",50,1,1
"14-Mare-Balena","4-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","5-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","5-Mare-Balena",50,1,1
"14-Mare-Balena","5-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","6-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","6-Mare-Balena",50,1,1
"14-Mare-Balena","6-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","7-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","7-Mare-Balena",50,1,1
"14-Mare-Balena","7-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","8-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","8-Mare-Balena",50,1,1
"14-Mare-Balena","8-Pride-Perjudice",50,0.531017,0.52
"14-Mare-Balena","9-Don-Quijote",50,0.61186,0.54
"14-Mare-Balena","9-Mare-Balena",50,1,1
"14-Mare-Balena","9-Pride-Perjudice",50,0.531017,0.52
"14-Pride-Perjudice","15-Don-Quijote",50,0.505181,0.4
"14-Pride-Perjudice","15-Mare-Balena",50,0.531017,0.52
"14-Pride-Perjudice","15-Pride-Perjudice",50,1,1
"14-Pride-Perjudice","16-Don-Quijote",50,0.505181,0.4
"14-Pride-Perjudice","16-Mare-Balena",50,0.531017,0.52
"14-Pride-Perjudice","16-Pride-Perjudice",50,1,1
"14-Pride-Perjudice","17-Don-Quijote",50,0.505181,0.4
"14-Pride-Perjudice","17-Mare-Balena",50,0.531017,0.52
"14-Pride-Perjudice","17-Pride-Perjudice",50,1,1
"14-Pride-Perjudice","18-Don-Quijote",50,0.505181,0.4
